"id","1","2","3","4","5","6","7","8","9","10","11","12","13"
"W1",37303.8378728534,37347.869918133,37160.1821699276,37188.2313602106,37234.9068983509,37261.9261908985,37142.4175207544,37174.1762037079,37177.1505170089,37197.7582636874,37115.4578640407,37145.0186810484,37126.4204740323
"W30",3816.36858238112,3878.14560912765,3946.18577435389,4003.48932559207,4073.64706778334,4132.35372045941,4185.94252071904,4233.51151688376,4275.4255696856,4311.0324542411,4340.52459303863,4364.00649934955,4381.7026694994
"W32",3225.75932025259,3836.73670712498,3869.46449030234,3335.68177249528,3336.66884924578,3522.52464174044,3600.64686105519,3517.19315875692,3447.17031236665,3485.36385646124,3521.38036633014,3515.85577618074,3493.21267960674
"W37",2876.25136386851,2885.64191909495,2871.86828976243,2873.79706607321,2878.68896078036,2865.00432218872,2873.13756647217,2871.59538867104,2861.74173029097,2872.56638319083,2865.01002307077,2861.44372987217,2870.96694858332
"W38",3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11,3241.11
"W39",5567.83458886164,5574.31298305888,5577.83358700232,5579.24555121064,5582.97239105958,5588.25896372386,5591.13235588617,5592.43781280171,5595.86785051892,5600.60067004345,5603.27565928099,5604.74032309061,5608.08869136542
"W40",5558.65316221401,5562.75771892053,5559.72839291195,5563.10177595871,5562.2818062854,5562.16685365759,5564.70910602234,5561.90818355342,5565.4292893455,5563.27428608357,5564.50404797773,5565.37317799965,5563.49472456614
"W61",9830.77829901533,9773.51278778412,10156.7301310242,10273.2657482739,9908.80395226208,9935.94990538585,10307.1947008362,10241.1891067313,9957.72014908914,10127.135920528,10393.0705315353,10219.614761187,10057.9364338946
"W63",6065.52860904504,5999.45587476289,6194.96636111821,6279.78378523535,6084.29048843474,6024.03499994085,6232.5971312689,6260.34589401653,6055.61184162294,6078.00353409987,6278.10534495576,6214.9311468344,6040.78304234297
"W89",1203.63052738817,1213.13734416782,1211.65148470994,1201.72309851967,1200.8273534875,1210.25822169204,1213.34964699495,1204.91915243551,1199.93105801114,1206.94326974563,1213.43920865852,1208.15953745066,1200.60738421363
"W97",480.426592940644,482.486518768678,485.726271600475,480.440472558487,480.40029142491,481.017369288952,482.383412339207,481.444374521682,481.117073153626,481.150916935855,481.568720834446,481.466459353422,481.340801042188
"W98",609.814796694976,611.922335693141,614.698039641605,610.922335268464,611.695885125912,611.545515020761,612.40421542362,611.764567887583,611.929255802695,611.785165147849,611.987962847553,611.870829891273,611.919195279205
