"id","1","2","3","4","5","6","7","8"
"Q92",7241.2,7298.4,7355.6,7412.8,7470,7527.2,7584.4,7641.6
"Q95",5729.45044362504,5707.01909870204,5684.58775377903,5662.15640885603,5639.72506393303,5617.29371901003,5594.86237408703,5572.43102916403
"Q166",1176.26923076923,1182.53846153846,1188.80769230769,1195.07692307692,1201.34615384615,1207.61538461538,1213.88461538462,1220.15384615385
"Q177",1171.47821376813,1178.01921591139,1183.67160213635,1189.91185924257,1196.41973660536,1202.61756944388,1208.76174677174,1215.0517192397
"Q208",12191.3502585073,11485.8527517475,11808.2145430299,12389.4973735171,12507.9611261434,12691.8008967492,13021.3330151416,13276.8978150409
"Q211",1177.48312324064,996.878615867158,1106.52513204022,1039.95780942059,1080.37139113213,1055.83596560379,1070.73162890218,1061.68834637004
"Q375",7781.91788018304,7943.22921143193,7880.78213292901,7745.54498446129,7943.43764958917,8091.35897940042,8052.80254783252,7958.34182265239
"Q464",6438.63402675539,6413.84610476143,6254.47029838264,6337.76467555622,6504.41055528611,6521.9379229915,6487.84757103801,6545.38822597407
"Q495",3677.3870967742,3677.3870967742,3677.3870967742,3677.3870967742,3677.3870967742,3677.3870967742,3677.3870967742,3677.3870967742
"Q577",7047.99304957691,7064.19039690594,6721.96330109422,7131.17646091972,7209.65485322709,7166.64957723562,6908.21984700399,7254.48186559674
"Q604",7925.01677097116,6625.4470132314,7473.3927880592,7724.78548142221,8034.57829055057,6848.64732327112,7566.47120588386,7873.64521385123
"Q645",1072.47151176946,1071.191925275,1070.64220290913,1070.40603702207,1070.30457794077,1070.26099016733,1070.24226445083,1070.2342197073
"Q715",2584,2584,2584,2584,2584,2584,2584,2584
"Q808",969.524092181416,954.772209218166,946.477544803799,941.813634581736,939.191218836769,937.716691238248,936.887596292883,936.421414154875
"Q834",6843.30551724138,6912.29103448276,6981.27655172414,7050.26206896552,7119.2475862069,7188.23310344827,7257.21862068965,7326.20413793103
"Q839",1168.1959503853,1162.09602668781,1157.32810862574,1153.60133370625,1150.68835342436,1148.41146407471,1146.63176609914,1145.24069064582
"Q951",1075.31401271516,1068.41139258351,1063.10321163698,1059.02116968424,1055.88204035317,1053.46801985282,1051.61161498334,1050.18402187098
"Q972",1171.1,1171.1,1171.1,1171.1,1171.1,1171.1,1171.1,1171.1
"Q1068",10709.0850344828,10789.0340689655,10868.9831034483,10948.932137931,11028.8811724138,11108.8302068966,11188.7792413793,11268.7282758621
"Q1258",3859.53765123705,3776.20475818692,3737.76392416617,3742.35904526176,3776.82643502583,3820.9117326995,3857.1877573027,3875.71509141952
"Q1289",3400.67679000377,3499.55717795824,3459.3292628714,3403.45093801346,3507.41342594873,3594.17786521647,3555.90658639382,3508.70912275125
"Q1606",7326.67141279203,7326.67141279203,7326.67141279203,7326.67141279203,7326.67141279203,7326.67141279203,7326.67141279203,7326.67141279203
"Q1637",2181.49,2181.49,2181.49,2181.49,2181.49,2181.49,2181.49,2181.49
"Q1750",3235.505,3235.505,3235.505,3235.505,3235.505,3235.505,3235.505,3235.505
"Q1784",2561.53166666658,2613.54333333315,2665.55499999973,2717.56666666631,2769.57833333289,2821.58999999946,2873.60166666604,2925.61333333262
"Q1831",1347.50801572693,1358.01603145387,1368.5240471808,1379.03206290773,1389.54007863467,1400.0480943616,1410.55611008853,1421.06412581546
"Q1877",1400.68178846149,1412.00589007947,1422.82283012924,1433.79638638539,1444.72157810125,1455.6617052367,1466.59722017576,1477.53415940394
"Q2001",1323.93737250014,1357.3457337776,1384.26567014625,1415.77613200996,1444.03882193873,1474.59929292824,1503.53409625732,1533.61905065489
"Q2273",13245.065785199,13313.0579405554,13386.6589205872,13464.5770791585,13545.8182209963,13629.6171022671,13715.384705762,13802.6676579848
"Q2572",10022.0042683648,10449.9302045189,10542.3291006022,10421.689694369,10483.3349900004,10650.5520570297,10719.0632663922,10735.5261916697
"Q2914",9337.77271226358,9588.30773808668,10029.9690328705,9534.11228764166,9835.53367304725,9977.3952862395,10105.5357896087,9936.64864884624
"Q3061",2323.7625777836,2414.29493935807,2414.29493935807,2414.29493935807,2414.29493935807,2414.29493935807,2414.29493935807,2414.29493935807
"Q3107",9793.04120356595,9820.84736603626,9775.61455102335,9801.73457710033,9758.14897329265,9782.65981474769,9740.6462468388,9763.62134352386
"Q3163",10293.7439946061,10356.5424729678,10419.5797339835,10482.5566923273,10545.5488796342,10608.5372209868,10671.5265336048,10734.5156009375
"Q3257",1345.91892601777,1323.21779518879,1304.30381043256,1308.32015813914,1325.56276904058,1336.82679931246,1334.61243728793,1326.11989015785
"Q3286",3267.32926776934,3282.03880524479,3254.85902629107,3260.07680916935,3269.14470838329,3281.75162842382,3295.47381365212,3309.73920284575
"Q3343",1005.64399175468,1000.87270104548,1008.55747857205,1010.6356650414,1004.43903947512,1004.09553849403,1008.82958223706,1008.15508917846
"Q3390",7408.24100808606,7565.79462474881,7697.66356433801,7808.03498961353,7900.41346444846,7977.73223234083,8042.44635409999,8096.61066205805
"Q3649",1274.46582323137,1283.73738129984,1293.00893936831,1302.28049743679,1311.55205550526,1320.82361357373,1330.0951716422,1339.36672971067
"Q3694",8638.92258494039,8468.64446245334,8381.91080922734,8328.25651974575,8298.20303183805,8280.51362482056,8270.35929048349,8264.45653015498
"Q3754",5391.89777258396,5418.84074766802,5445.78372275209,5472.72669783616,5499.66967292023,5526.6126480043,5553.55562308836,5580.49859817243
"Q3856",2059.48049819317,2049.27570669737,2048.8942971794,2069.33420468549,2093.66246658086,2105.96117981049,2109.57225563678,2116.87116169444
"Q4085",8919.88467571142,9079.76935142284,9239.65402713427,9399.53870284569,9559.42337855711,9719.30805426853,9879.19272997996,10039.0774056914
"Q4246",2523.72607247851,2534.24397147306,2549.50086912266,2563.56268903036,2577.92588290187,2592.21307647409,2606.51943575466,2620.82096183878
