"id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"M3",13126.7711465735,13101.8850238178,13096.5341812045,13104.0868919461,13118.7973920816,13137.3498533693,13157.9500805298,13179.6400966379,13201.9098864173,13224.488096171,13247.2303722505,13270.0599243349,13292.9359033448,13315.8365793952,13338.7503931622,13361.6711956043,13384.5957157079,13407.5222134403
"M32",3522.42252158267,3535.77374417966,3649.12175264168,3652.5998985229,3612.96504975446,3608.88210374845,3622.53458955699,3624.95613886488,3620.32667702487,3619.14062144262,3620.68411575668,3621.21281264216,3620.70781350985,3620.48534397457,3620.64699916081,3620.73694427504,3620.68654796638,3620.6512621091
"M39",2419.63940190293,2426.21396089632,2432.78851988972,2439.36307888311,2445.93763787651,2452.5121968699,2459.0867558633,2465.66131485669,2472.23587385008,2478.81043284348,2485.38499183687,2491.95955083027,2498.53410982366,2505.10866881706,2511.68322781045,2518.25778680385,2524.83234579724,2531.40690479064
"M41",4796.53425597302,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251,4710.28511173251
"M48",793.957639406599,795.578662739405,866.158004801581,863.50136410265,870.244218353281,876.804535202559,883.187256163626,889.397188976753,895.439011230738,901.317273886268,907.036404703896,912.600711579222,918.014385787788,923.281505142122,928.406037063329,933.391841569515,938.242674183327,942.962188760768
"M71",5895.63387594738,5727.24266724241,5694.94704166672,5618.5677178253,5565.11616550545,5535.19164823782,5518.43859440054,5509.0595019873,5503.80867575881,5500.8690335347,5499.22329322074,5498.30193579883,5497.78611960855,5497.49734314047,5497.33567344088,5497.24516367069,5497.19449234192,5497.16612431542
"M83",3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673,3681.00637689673
"M122",18476.0974076223,18466.1192748215,18487.6865940749,18498.906886276,18513.52104231,18527.0219982279,18540.8880879754,18554.6344124519,18568.4200203883,18582.1927432019,18595.9696923843,18609.7452553019,18623.5212729195,18637.2971413938,18651.0730587877,18664.8489601357,18678.6248667469,18692.4007716317
"M125",9796.92201715908,9863.12752324073,9953.52605490608,10026.2047145874,10084.6369421442,10131.6153156066,10169.3850133478,10199.7511150735,10224.1648697276,10243.7930532098,10259.57373063,10272.2610880752,10282.4614764778,10290.6623901838,10297.2557651571,10302.5567102832,10306.8185669718,10310.2450167843
"M130",3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693,3449.51267612693
"M134",1424.34358207509,1443.15912097671,1428.96682753378,1439.67187266819,1431.59720934541,1437.68781307082,1433.09375728705,1436.55898823884,1433.94521380631,1435.91674669378,1434.42964747129,1435.55134526877,1434.70526457029,1435.34345121017,1434.86207610251,1435.22517050123,1434.95129355935,1435.15787504217
"M147",1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091
"M161",9891.47674498203,9864.75341252815,9846.21560991757,9833.35605633374,9824.4354673163,9818.24731250212,9813.95462959414,9810.9768232687,9808.91113831086,9807.47818603702,9806.48415632727,9805.7946043569,9805.31626662194,9804.98444683385,9804.75426559637,9804.59459036303,9804.48382468804,9804.40698725683
"M171",2865.19496724506,2870.08398944109,2874.97301163712,2879.86203383316,2884.75105602919,2889.64007822522,2894.52910042125,2899.41812261729,2904.30714481332,2909.19616700935,2914.08518920538,2918.97421140142,2923.86323359745,2928.75225579348,2933.64127798951,2938.53030018555,2943.41932238158,2948.30834457761
"M177",2618.81744411912,2624.25070709408,2628.07387202054,2631.99973665739,2636.55510795526,2641.28252828227,2645.86937972842,2650.38249817427,2654.94253467394,2659.55512279015,2664.17718679516,2668.792747033,2673.41040630002,2678.03647695391,2682.66851336646,2687.30274780699,2691.9382680488,2696.57554311659
