id,0,1,2,3,4,5
Y4,8541.229565143585,8750.779317418619,8944.086133738125,9162.546280026076,9356.491040984314,9572.604119379723
Y24,6522.486555144881,6498.230850303866,6486.463759218904,6494.340195039149,6493.328171314742,6501.023683859346
Y145,9096.172204538001,9352.28442697749,9606.050341559261,9852.284810914794,10115.51055835251,10371.407519310502
Y265,3969.908488050302,4026.311266426599,4074.2253241631956,4126.829116098243,4176.98791795127,4211.818146490853
Y422,1606.709422095808,1606.7173974116236,1605.289323732988,1603.7547063970255,1598.1281526370856,1595.7961425304452
Y448,2661.054283169508,2656.319786925614,2661.6384403091074,2653.5458030686978,2632.35565729624,2649.3862350793484
Y702,2798.906941920866,2914.068218405096,3022.3856909231736,3138.9860857889776,3251.9941226686997,3372.6052684479446
Y733,1092.0001375676193,1110.4423721433745,1127.4423721433745,1144.4423721433745,1161.462242603408,1178.4423721433745
Y907,16762.336208820383,17664.495483178405,18397.365685976623,19297.08814841067,20066.19951064797,21137.881077619975
Y915,16230.783063173283,17364.01526745381,18181.061967536265,19323.087198025667,20104.421924202557,21300.759354046135
Y1078,9212.99293600937,9298.275362942097,9356.49330518254,9451.143193727848,9521.761450833243,9582.7419260989
Y1100,3412.381636285546,3442.813817318198,3557.164351309004,3621.5134181437566,3669.645405562771,3760.3883436672863
Y1121,2068.6565066080097,2273.8656620776655,2484.9957602167133,2687.8342808239463,2893.784707930804,3104.6317010755542
Y1150,5107.878020399884,5307.022354801077,5522.46708139401,5696.927036507163,5896.208156641722,6099.354904364111
Y1171,12273.831316784666,12441.157546318796,12802.834910317144,12934.936870558922,13174.709900132577,13539.446725380949
Y1332,7912.61401176502,8281.229596479916,8680.741272656078,9058.917263579044,9442.125829632476,9834.096397677211
Y1417,5178.878758263582,5308.277241044088,5415.2661505080105,5523.000966563359,5643.303704614823,5755.849242425188
Y1504,7441.752338408183,7757.362662036056,8029.881652751396,8385.071045993776,8686.608426887851,9023.019603291354
Y1633,6457.225173324346,6654.651788407564,6839.492310655117,7020.6107638716685,7204.656811070441,7386.210763871669
Y1723,8530.558254961015,9360.395058112075,10115.50319352646,11039.458848829347,11747.745317245659,12573.576529060272
Y1770,5275.607667306102,5584.11926951802,5869.525300562253,6103.265075144946,6295.900235188335,6474.977344796396
Y1794,3747.0508326106947,3852.728282336083,3983.669673232479,4119.468790804239,4246.499271975119,4387.620326506465
Y1823,1861.5914882421453,1918.0535017630204,1980.7918862264778,2048.448008531552,2106.712616475711,2181.030113111295
Y1980,7429.660546308758,7814.586998357201,8192.249498353063,8582.58284324953,8953.039310206288,9325.236998340633
Y2012,1612.506651878357,1707.6415300369263,1794.9073004722595,1894.1910123825073,1981.6844129562378,2065.097930431366
Y2104,1228.4499390220642,1228.10936306715,1224.60066521883,1229.3070542621613,1225.6600287163258,1228.550830309391
Y2197,11002.777598190052,12053.790450979332,13205.762148894222,14238.446931359505,15340.179713372398,16446.847066135422
Y2253,2604.242441167061,2770.802560037746,2839.394306631982,2845.810695533902,3039.2810969446537,3128.599919074177
Y2603,8592.94451095488,8593.78020321027,8602.924499459952,8623.515029247601,8635.253195519832,8644.386584814405
Y2682,4170.800788314837,4381.459901092637,4571.505893485592,4785.550957141312,4983.236670291995,5188.621848500771
Y2719,2182.034196676256,2285.3933023829572,2273.1933988572505,2270.406394001542,2279.5018740147634,2268.738115990056
Y2805,3158.971835454447,3309.7995434788677,3515.1742381979484,3669.754428165107,3851.448151857195,4039.5538586554994
Y3035,1819.9728518724442,1773.2415825128555,1897.9868805408478,1776.3108557462692,1805.0559502840042,1894.245086312294
Y3037,3354.5577466487885,3383.361077308655,3389.128041267395,3427.980375289917,3374.8620688915253,3361.4858388900757
Y3129,9944.213454243838,10124.686682358048,10319.504642444166,10538.972643003877,10800.715488076283,11005.468892053703
Y3272,10859.360185861562,11259.557446336621,11667.386460494668,12073.132943200539,12478.85431685375,12887.722712039122
Y3384,3033.984879842891,3055.7319019281317,3034.1199139931773,2995.629382149022,3088.533291761111,3028.551619262204
Y3709,7010.967254639438,6756.170277161734,6526.362189378303,6278.1124245013325,6011.861103227841,5791.009543154379
Y3965,1321.9984692732883,1353.9468000770266,1387.0691800708667,1426.3483377356704,1456.0002173041516,1486.57356345403
Y4056,7525.199402938998,7531.650226254102,7453.948274907173,7457.562282456928,7533.265759430317,7463.139126652039
Y4069,5413.772654035156,5305.828803958398,5359.509822688051,5372.184257957963,5371.126372055822,5335.101441120361
Y4187,13922.215957421933,14608.520736839879,14979.388283851185,15395.63103691219,15828.796666820204,16239.049592681287
Y4255,3044.445445537564,2885.649933578405,2721.2510178721545,2590.415963118758,2453.7510385586047,2322.193880388289
Y4290,4630.420082082623,4970.226483224404,5203.735999587991,5384.643566929823,5542.892284049344,5651.249436093383
Y4345,1985.7096233338086,2057.089258599793,2090.337525154177,2141.8339053228815,2199.5307375570537,2242.2362303312207
Y4346,2350.7147715777915,2433.100690272089,2514.179167142576,2593.3772609805756,2672.768977581576,2754.7831529359146
Y4428,1928.0961353102327,1979.406774700864,2028.8679032730736,2081.1597830718274,2130.0193142365765,2179.0506305458334
Y4550,2284.5177364349365,2281.8990206718445,2290.317916870117,2285.169813632965,2281.8990206718445,2291.7736053466797
Y4870,2567.838305219371,2657.442183781067,2737.4164682474443,2826.2397060182434,2910.4561752860704,2994.8400010475043
Y4883,2666.8044271646527,2732.9805746052707,2791.8065554630984,2854.9407878627485,2919.533469909693,2982.3082590121985
Y4902,11161.641541496894,11566.08493798057,11943.866156052043,12362.430370760181,12739.707102585851,13142.592082975953
Y5054,2073.4464312539626,2123.184007498181,2167.0974177047815,2229.5157718617215,2278.610995302285,2322.5467046609033
Y5057,8133.996491814008,8323.384459666413,8511.753021288669,8747.025643205101,8932.241498814745,9119.573417504935
Y5150,2125.247141380549,2194.951495930195,2260.8246534981727,2329.090099718213,2392.156936770916,2463.3479498490096
Y5163,2605.572983143353,2682.339033964123,2749.9800314755953,2820.4321824682565,2883.82029773666,2949.7353700561553
Y5230,2803.483121395111,2802.6621374487877,2803.4304696321487,2801.624591946602,2802.2586035728455,2801.624591946602
Y5235,5398.04828195572,5400.522482711078,5365.928147229553,5364.375767129661,5368.491428884865,5370.1751428574335
Y5287,5234.26169259013,5467.815383705688,5682.3262431206895,5925.792220157623,6140.441007511629,6377.347893573185
Y5447,3400.342666692283,3519.745296558959,3635.425062793566,3764.1757697234393,3876.8022518676985,3995.354412895261
Y5467,2184.602139097747,2241.2255912297005,2297.707098656694,2356.7784381124343,2413.373765323364,2473.714866097073
Y5526,2099.0293822348076,2154.6292012243716,2211.6284256158706,2266.1063427177796,2320.3587323781767,2372.6332668568793
Y5529,11051.644333429791,10450.017045631395,11987.791794068686,11461.094480331652,12832.141661790954,12346.957720991351
Y5693,2402.081874188916,2491.777856559062,2564.4093662929226,2640.0699485127757,2725.9983063127083,2791.308559850194
Y5854,2723.7994284638885,2774.0024965800885,2852.906060993019,2919.9260128343976,2978.5260048883397,3040.4870398207167
