0,1,2,3,4,5,6,7,8
Q44,1232.0009053908288,1233.6716471873224,1239.291374772787,1243.1328521184623,1248.662613261491,1252.3338339030743,1255.5382051356137,1259.3770971000195
Q49,8253.138271011412,8223.989257588983,8186.199477724731,8189.631456583738,8091.680969893932,8037.464211918414,7981.058494672179,7934.789075739682
Q52,5591.4121440425515,5612.951680719852,5631.673363633454,5657.8082305938005,5691.753670163453,5719.06999014318,5731.219040043652,5747.446688935161
Q57,1391.4736790060997,1391.738238170743,1391.3943609297276,1391.448082908988,1392.7287419736385,1392.0922891944647,1391.4872790575027,1389.796204134822
Q64,2721.6888226799665,2706.955546955019,2688.5507855352016,2686.5618417236956,2670.4558000557126,2674.4201661445204,2673.6026659555737,2669.8964110689244
Q70,10501.34627513662,10567.55214291513,10639.241549574584,10720.907794558258,10788.524917934836,10860.908601210267,10926.872878138722,10994.401266106219
Q80,6758.470303565264,6693.20003259927,6638.944635502994,6584.162141047418,6513.882104232907,6452.592853531241,6386.816952824593,6316.488092541695
Q119,3015.063657462597,3032.0030976831913,3048.7810984253883,3066.5695959329605,3085.1410195231438,3104.9475188925862,3124.8772121220827,3145.0272273644805
Q125,1290.8959046404063,1302.0070803396404,1314.8111926333606,1334.2909213647247,1351.8261281247437,1373.7887871158123,1405.1137230043112,1426.027182560265
Q134,1106.5299193387107,1103.8442223647237,1104.1436155548693,1106.450648347661,1107.5538708201423,1105.3202507156877,1102.06209057495,1097.2967429642006
Q140,6889.039809128642,6866.148843897135,6849.349899370224,6837.491453496368,6817.445862571151,6797.176846544446,6767.518087774889,6737.286697383599
Q155,7054.213836371899,7067.113318867981,7070.213568434119,7090.012137629092,7107.37214756012,7100.971962966025,7083.395797647536,7078.194162294269
Q160,1213.4562241099775,1208.3202936388552,1187.4777925349772,1173.837986741215,1161.3801387250423,1120.2525164559484,1093.798990368843,1064.5810068175197
Q171,1185.854415178299,1193.3073078393936,1201.3706617355347,1210.3268067091703,1218.3349744528532,1226.6381699889898,1235.1669041365385,1243.9938979148865
Q174,1156.4958938360214,1166.0210183858871,1175.420239329338,1185.143634557724,1194.9872453212738,1205.4395530223846,1216.2223328351974,1227.2845312356949
Q185,1153.7609632015228,1161.6796324253082,1169.6067935228348,1177.9313971996307,1186.4543523788452,1195.642171740532,1205.218535542488,1215.0928559303284
Q194,1167.2441724389791,1174.8564913272858,1182.559097841382,1190.778244137764,1199.1942095309496,1207.9355600327253,1216.886319220066,1225.9477199614048
Q195,1164.6369060277939,1172.6740673780441,1180.9780480861664,1189.977896809578,1199.4290808439255,1209.2216514348984,1219.2752714157104,1229.4482253789902
Q210,3881.0744485259056,3739.1828822791576,3512.184006754309,3367.433587178588,3145.4513336755335,3037.3089446611702,2996.6886427886784,2850.0761544555426
Q230,10292.405058162889,10464.990539301194,10635.120117543935,10811.930749180889,10973.429430399396,11139.950429804256,11310.216007271738,11480.43667412249
Q234,6897.6448959927175,6642.1597811751,6299.375701316016,6062.623932992274,5811.340538135237,5461.035199945105,5265.751939076248,4996.15606863878
Q267,10248.803074482494,10670.653405803965,11054.137968804578,11473.915388476478,11915.026187730695,12377.331683873239,12893.272459199805,13342.358368704361
Q269,5774.826743640006,5799.711108356714,5827.302617803216,5832.143785171211,5869.9950513243675,5940.677931122482,5976.068334877491,5981.454554386437
Q279,6654.84356672272,6703.168999064266,6743.93436826393,6784.808270114362,6828.724883494228,6868.306406618655,6908.4838558153815,6960.627826754303
Q308,4529.849686843157,4381.383076119422,4254.888093405961,4151.098818808792,4020.968818134067,3837.8027761101694,3672.37791176438,3504.664302313324
Q309,8490.410959964544,8489.26927161295,8322.104055551179,8240.207601017804,8138.700478078538,8159.523712753656,8116.404725329469,8048.9451106987935
Q324,1886.46667927593,1888.2646616885065,1860.0988737118244,1835.5045777389407,1809.1537661331893,1807.9294890272618,1789.1738783067465,1772.287106643617
Q328,11690.956097069755,11368.6357867489,10945.33836971037,10425.754706063122,9932.026741931662,9672.093433149681,9204.795710675418,8708.693091815114
Q338,2518.176625040671,2587.2748666952034,2660.6794676904833,2752.355610281222,2893.06166865179,3025.3675114412986,3193.8607661997135,3473.6499983792337
Q342,3043.4491776707214,2693.799255787572,2425.0856608634067,2273.875951776886,1947.1947193898066,1715.684922983226,1417.5634640442563,1153.0761093258557
Q353,4886.687757015228,4379.382041907311,3824.5960103750235,3326.6071155071268,2795.0016289234172,2388.5751200914397,2141.9929991245285,1733.8652698278445
