0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
M32,3961.579527419806,4042.915959013999,4024.731187805534,3955.970998292417,4150.76794866398,4217.994284996576,4465.440348345227,4579.497755899093,4652.205622899904,4889.417624724282,5089.778549129886,5353.414039481801,5590.868346845728,5763.638879913461,6012.1540014866705,6300.949595561992,6588.555003276836,6875.1713362846485
M39,2385.103140642941,2422.877970623076,2478.2422419622544,2503.39897974819,2486.1892077016837,2493.262563663424,2518.534122481049,2606.6368226215254,2706.6533233293903,2703.8706618952765,2723.008191875817,2772.30969956875,2858.004632323982,2981.3823505604287,3042.2959749627134,3114.314801294806,3216.1588793587707,3335.9296542000793
M41,4747.572388738394,4784.3598701655865,4545.690769284964,4603.513483405113,4707.479008555412,4944.035654306412,5176.82523047924,5317.641015529633,5603.2049906253815,5754.359357476234,5883.820353984833,6121.920566320419,6265.998484373093,6569.88120675087,6916.815540313721,7184.987950563431,7522.375737428665,7809.7247059345245
M48,904.5894689559937,1033.7731864452362,1133.4807341694832,1273.050554573536,1417.4382205307484,1596.49627161026,1784.2614156603813,1965.971437960863,2131.5016660690308,2314.5479297935963,2486.225404858589,2672.275264084339,2855.779497116804,3038.541457206011,3243.837447077036,3447.129960387945,3661.4415601193905,3871.5624097287655
M71,6519.0617498755455,6970.266746133566,6950.311146173626,6953.408391624689,7452.775728106499,7965.854049697518,8415.088157057762,8645.448031537235,8783.486641682684,9187.186762206256,9581.116726882756,10145.529971309006,10458.641323782504,10509.037008117884,11005.003819596022,11642.258150409907,12342.895113300532,12892.141390156
M83,4029.6926271915436,4027.266122698784,4067.6278346776962,4198.833689689636,4481.848199367523,4709.264818429947,4719.026999473572,4844.734034538269,5027.080047130585,5164.873021245003,5340.480073094368,5441.814455986023,5579.933150410652,5694.332190752029,5648.781033158302,5915.440673232079,6139.744017958641,6386.056731581688
M122,18735.63546448946,18754.219083450735,18993.942614533007,19144.20721951872,19360.808892436326,19541.774959750473,19675.198869667947,19984.34761930257,20314.86088614911,20700.527740232646,21026.981617473066,21377.825803868473,21749.391478858888,22173.151780478656,22593.75655721873,23007.622356824577,23432.99601405114,23865.78556483239
M125,10474.035886973143,10723.626118153334,11269.48012560606,10442.95134961605,10309.719880335033,10710.136265866458,11496.861439161003,12058.41068636626,12089.387138523161,12664.800780452788,12782.171302828938,13303.986712042242,14093.22193408385,14235.931491721421,14716.007493454963,15330.509493071586,16122.896578032523,17037.13278408721
M130,3670.7002831697464,3824.110520720482,4009.9688140153885,4145.325165495276,4312.338263615966,4543.169893071055,4754.08829139173,4974.96780513227,5168.96053339541,5389.2883364111185,5625.228581622243,5884.186386778951,6112.422784104943,6345.5515726953745,6577.9846427589655,6827.996021106839,7105.618762806058,7367.942035511136
M134,1399.133939549327,1398.399987988174,1435.0304569751024,1485.9731708914042,1515.220012292266,1517.9790227208287,1536.5642667729408,1561.8441243562847,1589.7351740840822,1626.3067854885012,1636.7446088679135,1655.7207893840969,1684.529003944248,1699.5721171852201,1743.7641914691776,1777.565987026319,1815.4996799584478,1857.5604137536138
M147,1094.8545037433505,1105.120381332934,1113.7088175471872,1123.2791063394397,1129.068256950006,1138.4438315145671,1151.9510729126632,1161.6550660636276,1174.9759071525186,1186.2539152968675,1196.7111896220595,1209.8312768805772,1220.4970893207937,1233.271152826026,1246.4081844184548,1259.092298032716,1274.463199140504,1289.24685430713
M161,10002.651256583631,10053.150154165924,10157.135573253036,10163.550236448646,10252.15613514185,10367.4568118155,10558.834630995989,10660.273060277104,10728.018712587655,10866.0211731866,10947.177877500653,11093.09807650745,11220.062437877059,11303.165034539998,11463.49548060447,11610.322411544621,11793.164895065129,11961.17333317548
M171,2875.2553584575653,2892.8950978517532,2916.3381308317184,2928.907260477543,2943.710481584072,2962.4416833519936,2983.4155489206314,3006.457943916321,3028.7618883252144,3047.691208779812,3070.3877749443054,3093.441256403923,3117.472226023674,3142.016892313957,3162.9989788532257,3187.607928752899,3213.737729549408,3240.6349692344666
M177,2649.563397873193,2687.158963032067,2725.946892362088,2755.784445600584,2792.6845140177757,2833.9936559144408,2882.979405330494,2933.5374122504145,2981.766544105485,3029.5310012046248,3078.9206573609263,3131.4330054763705,3180.687701554969,3230.930412346497,3281.38200914301,3337.264971235767,3396.5192703995854,3454.7651924882084
M191,1380.883673042059,1390.8884522467852,1391.0860052946955,1404.603904010728,1428.2592350263149,1447.7666925061494,1465.9527975637466,1484.9314251933247,1503.9786598775536,1533.3084133658558,1556.5380512271076,1562.8633519336581,1587.5698949992657,1607.0269358754158,1625.7453358471394,1647.6603547930717,1670.711202800274,1698.0298864245415
M205,10121.778215020895,10450.527846813202,10774.48639318347,11237.300511151552,11635.853413790464,12108.485179543495,12652.307842820883,13179.978347718716,13763.85762244463,14332.81600356102,14792.223163694143,15358.652354627848,15893.674419373274,16480.84034845233,17109.883691221476,17696.426722854376,18350.987635940313,18992.280421584845
M209,1837.793268918991,1847.0585607737303,1856.8457912802696,1863.0349002182484,1870.492066964507,1878.3938447237015,1887.129593461752,1897.3008650243282,1906.0572350770235,1915.1861176043749,1925.5779864639044,1935.7892506569624,1946.8064341694117,1956.9057849794626,1967.0015452504158,1978.330317541957,1989.7675171345472,2001.6658764332533
M218,1177.6182289719582,1185.6945520043373,1194.615936100483,1203.3355183005333,1213.8155555129051,1225.9252997040749,1235.954180777073,1246.5718957781792,1254.013119995594,1264.2696363925934,1277.1215006113052,1289.4131425619125,1302.9173908233643,1314.224376142025,1326.8732561469078,1341.1168048977852,1355.0951679348946,1369.2289951443672
M246,1199.1280325893313,1205.2496791798621,1205.3810317572206,1209.7940633874387,1215.5966824833304,1230.8142597619444,1241.9064667839557,1255.6647014487535,1271.7472616899759,1289.9484984967858,1309.2359715495259,1323.8787310812622,1338.110828237608,1352.127259047702,1370.4099834579974,1391.8049918282777,1412.5749102700502,1432.01684676297
M249,9745.194469541311,9850.477150194347,10014.458764903247,10093.496308885515,10193.27289827168,10342.959204390645,10499.280570223927,10677.779028639197,10836.137490943074,10994.832867905498,11185.859944596887,11376.480494067073,11527.59137392044,11700.699842870235,11857.586368322372,12036.404820680618,12254.461186647415,12454.331258058548
M251,3187.4593284651637,3136.1855603829026,3148.72022228688,3173.135905124247,3169.7935638055205,3107.5719524398446,3009.011422075331,2919.012690335512,2831.6762178465724,2777.7762405648828,2718.2173797488213,2636.6527814492583,2523.3810111656785,2341.1721333321184,2228.29374836199,2200.6002416145056,2176.8607549201697,2130.3390531074256
M253,3507.819621682167,3423.7248417139053,3412.111962914467,3422.4703174829483,3439.084061026573,3395.4696856737137,3324.6441655158997,3218.2535833120346,3040.303397834301,3009.7258009314537,2986.3546997904778,2958.5824214816093,2881.8473321795464,2749.901439845562,2652.4615423083305,2660.3275470137596,2662.2623400092125,2649.8356060385704
M254,1696.6715191453695,1674.63231100142,1665.613659515977,1660.6141034215689,1659.7461420744658,1644.3100519627333,1622.6315355300903,1588.3686075508595,1543.9606187716126,1525.2145233675838,1514.0540559217334,1498.2696178480983,1469.7070900723338,1428.9399484843016,1398.1503267735243,1390.9037460535765,1384.0114716738462,1371.8161086291075
M255,1943.453191736713,1979.0608917735517,2084.8589092604816,2166.1641419939697,2230.824193354696,2301.1270998753607,2378.575520183891,2470.994394157082,2577.7512757517397,2672.6674189157784,2748.4652160294354,2831.4813823215663,2939.390992861241,3062.5013280026615,3179.1970198713243,3282.834709133953,3389.2849120758474,3506.6297225616872
M256,2526.73455619812,2659.1480712890625,2837.8638396263123,3008.4493482112885,3157.2672929763794,3368.838104724884,3576.703302383423,3807.8047564029694,4050.8114626407623,4262.770299196243,4490.688845157623,4716.484930515289,4931.254252195358,5177.255353689194,5408.417948484421,5655.9469792842865,5920.057971715927,6176.778400182724
M259,1289.0805048942566,1301.7241071462631,1314.1519987285137,1320.0790251493454,1328.0318914949894,1338.401808321476,1351.9213247299194,1364.8334411382675,1376.6307925879955,1387.7965919077396,1401.3926033079624,1415.008431583643,1429.960931390524,1444.1041161119938,1456.8824185431004,1471.359032958746,1486.9720776975155,1502.9870675504208
M272,4894.866584725678,5539.576003544033,6027.462706021965,6364.15661931783,6601.638995476067,6986.130374662578,7949.956936903298,8609.427195705473,9470.810775779188,10280.30581433326,10998.792586393654,12119.79516724497,12931.313192404807,13838.856412090361,14742.457107760012,15607.118309147656,16785.281273014843,17882.205589421093
M276,6159.624107703567,6668.265091255307,7099.403374195099,7437.280979063362,7558.829234894365,7979.833558630198,8414.589152801782,8816.888307202607,9360.144698340446,9773.801979962736,10237.519465256482,10748.902434650809,11322.009344715625,11850.13950617984,12402.005204427987,12969.142828378826,13606.800421152264,14269.056890878826
M277,4065.6947817653418,4255.05340449512,4299.193768873811,4281.68355345726,4300.714833885431,4483.591192215681,4536.212474629283,4413.173578605056,4596.670674979687,4696.64553835988,4962.995573878288,5095.994683131576,5272.8405079990625,5378.2630809396505,5588.27681414783,5850.769374892116,6148.190334364772,6416.964046522975
M302,4727.648673802614,5121.290690898895,5610.3048476576805,6086.517688184977,6262.7196875959635,6598.180060759187,7221.921587660909,7751.179247274995,8331.60369463265,8767.352302744985,9111.246317699552,9752.231793180108,10331.542640700936,10970.507217124104,11541.640453413129,12034.50532309711,12729.730786964297,13428.415357276797
M318,1387.799252063036,1375.1486204862595,1383.5697090625763,1370.2680060565472,1322.2996766865253,1296.8784201443195,1273.7106825113297,1239.184627622366,1229.2239145636559,1198.5905258357525,1167.504135221243,1156.4990952014923,1143.2983165681362,1136.312862753868,1131.4060359597206,1125.6431432962418,1127.4955843687057,1127.224179059267
M324,948.6497699171305,931.1783134937286,915.9399655163288,898.6895939409733,903.8503862172365,897.172702357173,875.505845785141,845.3274664729834,823.4706171154976,808.3475742191076,805.0029029846191,801.9257878065109,789.4810783416033,786.1583333015442,783.4601510316133,786.5274282097816,790.0728195309639,792.038035929203
M350,15903.169302627444,17008.647502860054,17860.11680716276,18968.100341016427,20991.659888138995,23579.559194056317,25914.380622802302,28854.7263605576,32187.85895179026,34699.96884658001,38064.3016296532,41221.18579064123,43610.09826983698,46543.9041613359,49768.06808232702,53624.310158202425,57769.752052733675,61405.6673359368
M359,1399.2130900919437,1523.9966783300042,1629.0372382476926,1755.1310001686215,1863.565403148532,2073.7758492678404,2338.774104192853,2508.224423825741,2738.644812107086,2946.945980489254,3136.8048346042633,3438.508379459381,3625.1719453930855,3817.227040976286,4072.46823951602,4313.8256169855595,4629.471216350794,4893.041528850794
M362,1888.5903619229794,1834.5307017117739,1742.1656843274832,1680.3364042192698,1676.697387676686,1610.670787077397,1610.7271994277835,1631.8301842361689,1645.7512950710952,1677.8999787010252,1700.4044321365654,1763.1560621596873,1797.9508609883487,1855.8452364616096,1910.6446176581085,1934.1216377355158,2018.2333168126643,2091.050836954266
M380,9784.272625148296,9976.300327181816,9812.316287606955,9417.396038919687,9166.036094725132,8944.947391599417,8970.946982577443,9157.146593108773,8869.57115881145,8791.610826738179,8661.47248134017,8542.126522473991,8771.846905462444,8708.241780065,8735.40356438607,8792.837575487792,8941.552815966308,9152.924062304199
M413,7767.2821444272995,7634.740191549063,7681.320858374238,7810.022352039814,8024.2079201340675,8219.322842434049,8270.420177690685,8422.272785194218,8583.625156767666,8733.962210007012,8854.087829850614,8915.273912660778,9081.32555577904,9326.812044866383,9566.88516560942,9808.812285102904,9996.564863838255,10201.499785102904
