0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
D26,2374.9287672556934,2380.5328841553624,2398.7962178464227,2423.7953949053576,2442.22297244504,2464.985990721731,2482.847030919938,2498.2103770214303,2524.6137097713336,2546.3380598938447,2571.826245445011,2589.760956456659,2602.6944590891876,2621.965509523151
D42,10303.56476074159,13372.517333403228,16120.635227164064,18045.512500199115,20168.882950806055,23052.230309722756,26934.71035608444,29955.947269065116,32653.320770310234,36275.754811278355,41564.407858300576,45875.43623100109,50317.81425549872,54370.04683456905
D46,10583.977799415588,10683.452923342586,10741.087897155434,10856.151351187378,10974.234209630638,11108.842163775116,11276.815726671368,11410.258998606354,11642.228025648743,11798.442289505154,11911.771878320724,12031.158638287336,12165.41563879326,12300.739416409284
D62,6042.93340690434,6038.787263445556,6035.257174354047,6021.740625035018,6016.962278131396,6009.538108743727,6019.775920435786,6026.175303757191,6007.2799487784505,6005.853742323816,5995.601556431502,5987.60998332873,5974.293677713722,5966.955454573035
D64,1170.4709156304598,1313.0797999184579,1450.775329394266,1573.1440307181329,1725.0991099365056,1909.3630351834,2093.8494094349444,2279.93626223132,2464.937246646732,2725.4919270686805,3010.040836226195,3265.1265276037157,3540.6205162517726,3835.8894187621772
D67,5790.246521554887,5825.726944454014,5871.012932755053,5901.810782797635,5932.911582238972,5969.621611259878,5989.92728921026,6027.2949742004275,6059.8656670972705,6064.047387460247,6100.016800085083,6133.745069125667,6155.934133859351,6178.795702302828
D77,1935.9897369384769,1943.8434513092045,1956.4080036163336,1966.3448980331427,1973.9630472183235,1985.7061540603647,1999.1373525619517,2005.462621498109,2017.6846063613905,2028.673740959169,2036.4560579299944,2046.3547857284564,2056.2194410324114,2065.922799873354
D84,1734.2228336572648,1718.3442910060287,1705.0572183467448,1691.3930607281625,1675.772547675669,1663.9978611722588,1650.8489407554268,1638.5116964533925,1623.5375121697782,1607.7863621048627,1594.0292809955774,1582.0087641589341,1567.7314893029627,1553.483654402941
D85,9872.29206159413,11903.463749298455,13831.384764308485,15483.6309334673,17206.514544637503,19365.027077613773,21686.144778986276,24148.88837095648,26242.61817563921,29093.643483050168,32808.1579851225,36154.65874856264,39442.2812893644,42813.83370129019
D86,12404.64463955164,16457.426421831547,20365.976991316675,23169.80499822795,26451.826509055492,30946.09922353923,36159.053198906775,40678.036813011764,44721.352163495125,50314.18669842631,57594.033902682364,63916.75859638602,70239.17014743239,76501.99911910445
D91,2206.300598613918,2401.083168162033,2622.6079991143197,2762.6589554380625,2952.8746479190886,3155.7469311673194,3404.8611751366407,3643.0422771889716,3893.3114670533687,4143.0587805677205,4499.705868886784,4856.203098045662,5202.246970267966,5530.974610136822
