0,1,2,3,4,5,6
Y12,1735.6014558529407,1786.903615781644,1836.4658071673841,1888.071295200953,1938.607111177841,1986.7054558077577
Y14,4744.906447369604,4890.50723023489,5025.917110100387,5174.103141900895,5309.654341483114,5404.809209100527
Y22,2789.215216836035,2891.2187513682243,2996.9213803909715,3154.292191804796,3295.076739186197,3438.4375131572774
Y36,1070.1486120982738,1080.5044430321116,1090.5769788943758,1101.6362747222163,1112.4119930525135,1122.2178396343945
Y51,8043.609235942364,8222.454844728112,8386.385225102305,8525.908429762349,8648.658933343366,8794.084438284859
Y72,8528.472044295073,8884.701499652863,9196.124850304426,9515.570575617256,9819.09806468785,10191.21052066386
Y76,9777.083829018475,9980.107057595254,10161.280879482629,10351.292128077152,10524.813189488652,10586.930340140316
Y86,2559.6853572130203,2731.3792016729712,2949.524972654879,3074.3168081380427,3325.4909115172923,3529.193117644638
Y104,1584.5317559508399,1715.0805311500562,1820.9448163845434,1908.3478209788739,1980.5013311182433,2080.979747843332
Y108,2574.0727286325077,2712.967141272747,3036.2041233217924,3274.3831543052656,3734.8848971655966,4141.509458134788
Y143,3170.213367050665,3302.406070296666,3433.378838188666,3544.064841884128,3644.3996597281553,3738.9463385408512
Y158,2689.3845843595163,2782.3390218882887,2873.308617859521,2950.9859437038886,3041.219064511306,3126.6929225488743
Y169,5872.898280394601,6084.108787476476,6241.809442446216,6445.705345912287,6649.100608241504,6941.990435640906
Y173,15980.570855225711,16106.174890583448,16183.991535978485,16228.454053958285,16391.106435450904,16538.063676609032
Y177,3107.041279835145,3241.9255315691626,3380.620572644073,3515.8126862688214,3647.299388976718,3786.977427389053
Y202,7277.441947809697,7311.714029011264,7403.866792274985,7526.307410944358,7607.9923740916665,7608.076120086045
Y218,2723.3700259237794,994.023132389277,173.51241834149312,-791.2441611544966,-1128.785919155535,-1598.4949251124162
Y234,9428.323216565304,9801.052130525044,10079.553390618064,10199.493604693596,10551.062504844538,10908.152246683576
Y251,1897.3746527875755,1987.6653513236845,2060.522288233393,2148.185967047015,2231.660100752963,2339.8561727005244
Y260,7674.24407649658,8173.1344632985165,8582.032355083467,9016.801556798386,9486.484767116632,10066.202040668164
Y263,6889.715964095046,7021.932322584272,7140.763444319443,7268.619274869628,7427.485731828187,7594.096966674317
Y264,2687.59628567189,2691.0586534916783,2701.5395881973805,2707.7878598772827,2710.2208914318894,2735.6054967752125
Y269,9995.479295768218,10264.703572566443,10586.184175862581,10840.6308181814,11004.783871075311,11118.521065277228
Y274,3846.524506635044,4058.276534179532,4315.865588782413,4460.733260643531,4707.798337591439,4943.108312071661
Y279,1734.1292860343724,1718.4937159674569,1712.814251088038,1706.4648101833882,1698.3445453960078,1694.687866663838
Y290,6164.704614083065,6340.395568763578,6412.597649199603,6455.033668824127,6502.441165473795,6709.840610107614
Y293,2523.3615100249044,2598.6723286085758,2679.2059645632116,2761.880313726257,2850.5604876363254,2939.432217471949
Y300,5362.844386592627,5429.737431108745,5507.6152406257115,5543.132490436392,5558.717255723224,5462.606895079024
Y302,9284.190038380755,9390.38212400712,9548.849868484229,9701.319351360149,9904.88952776362,10095.301600725827
Y304,4638.32214567596,4701.320260183905,4807.140118078756,4895.692393410992,4958.44782242185,5053.577928504728
Y312,1230.7565153765447,1189.3845308044802,1116.5694208114735,966.7551432174627,876.9266779035135,818.4508611122039
Y321,8340.860138796172,8483.874082516737,8610.483772529218,8748.584028142286,8925.697031508114,9111.397036134635
Y332,5624.915613473527,5574.8801377256505,5559.97581644414,5533.74983251987,5490.342404249436,5448.525120187309
Y341,1298.8173728048237,1120.1542722888357,936.3137761800058,780.2607800393639,643.7684279455747,522.599796857658
Y362,3473.8838391100276,3414.57590547923,3343.2775347900224,3287.0773845192766,3226.628078964407,3176.021048535239
Y365,2490.027417119057,2528.8019800741263,2567.6800835868517,2607.6426015959346,2647.657598396392,2687.437450469639
Y369,14176.031615235313,14585.98282009617,15033.532009544542,15467.559649814633,15946.092398373961,16409.943490698086
Y388,7317.546257013246,7420.6538945792545,7608.802701837854,7696.951890487994,7978.529869643225,8249.871943344842
Y391,6639.185894208038,6930.454054626761,7273.979581649219,7589.0561001714195,7927.364469925724,8227.70419949545
Y423,6159.549369473061,6356.6237198435565,6431.835117638841,6672.951557522158,6967.070788636349,7252.655556554945
Y424,1857.2756787657315,1989.6277569809695,2119.112054134685,2242.6475198259386,2355.885896894497,2479.6534441185995
Y444,7195.098973366065,7095.80227228029,6994.052140948235,6945.137530195505,6929.022903037341,6916.405665866973
Y465,5769.360419305628,5829.463441393734,5889.847861463327,5952.096670495101,6014.039261077648,6074.531883993607
Y494,3920.429639488206,4207.980121535843,4335.059417268379,4351.149909108066,4524.080302210475,4795.5168292635135
Y498,3955.338563150578,4482.660746564925,5180.715724718524,5607.121301446294,6374.2724596567,6951.541095264034
Y505,5992.429402565836,6383.115037971269,6690.2447565645825,7039.662885164773,7349.83050390929,7807.9370956995945
Y507,4891.783882793436,5177.512039016259,5379.465942910477,5624.14257449672,5834.964878853694,6172.93469570898
Y515,3886.684239294104,4089.007485549159,4316.9202858393555,4538.603029420799,4730.256595703038,4960.669048180449
Y519,8435.542206183665,8571.856534506713,8709.356015339472,8847.326726229729,8987.001532433795,9127.164900510395
Y528,5049.622761846603,5099.859747931865,5150.9335651630245,5202.48234766343,5253.221905414352,5302.272223006942
Y538,2773.5105125981167,3087.5045428260937,3385.212760226141,3624.3723813670704,3834.7342063587907,4132.250631320494
Y549,6272.306104555059,6541.616747642983,6760.760607166976,6921.718110234596,7183.996617728401,7436.570333269857
Y553,3486.9169254495064,3755.6858419336977,4008.4535425430417,4276.618017185536,4543.404715622422,4753.793602687486
Y573,2337.837388223953,2467.924573972128,2618.9073251249843,2732.366076647706,2836.6496824820492,2918.933203077811
Y584,7787.228333380267,7892.540395056098,7997.451520310435,8098.674464225336,8201.833342752992,8306.760550598161
Y594,2588.0942711234093,2650.1894772052765,2695.930086672306,2753.2794643193483,2813.391770273447,2893.3581797778606
Y614,2883.950077742338,2926.830320060253,2972.0514111220837,3018.515994399786,3062.874509394169,3101.6827069222927
Y617,1897.8736278568208,1979.1309008147416,2056.5298209728594,2141.6403194626564,2215.2246152716866,2268.4397774340055
Y622,4797.545068249106,4793.34061217308,4788.072622336447,4784.846485234797,4800.202001519501,4854.022292740643
Y625,1735.6013608223946,1724.9936989708879,1703.4931291948708,1715.8898283784727,1788.1274032069484,1866.1461930387657
Y627,4869.656654894352,5368.345207422972,5740.439510755241,6269.639628641307,6833.544767014682,7393.022169880569
Y640,1990.891210027784,2019.7980361254884,2054.83189052511,2090.457325669564,2123.7499197559428,2163.66552200783
Y642,1270.6190204024315,1302.5084448456764,1334.8762843608856,1368.896450996399,1402.1659971475601,1434.5370109677315
Y650,6428.347752653062,6588.001268319786,6730.247065797448,6878.868851065636,7064.696249216795,7228.195784538984
Y662,1188.6955106258392,1210.6285457611084,1233.6397156715393,1256.1221429109573,1277.4533350467682,1295.534226000309
Y669,5746.862253623008,5715.115384469925,5687.767162655292,5659.151579346357,5630.893358472435,5602.181768526731
Y674,3088.7273766733715,3740.4018097259122,4169.549555043133,4428.334497166427,4725.877812730524,4761.559262105826
Y682,464.6578060965985,477.4680918421596,516.0382295519113,548.340819998458,600.9117192436008,640.3602525919674
Y697,2125.7133655637504,2141.5323784664274,2157.4459556788206,2171.1602912589906,2187.9962425425647,2203.458216127753
Y705,4071.0131794586778,4158.862906970084,4256.623583491147,4344.67841616422,4426.700064752997,4505.200103743376
Y709,6847.016466319561,6905.224787533283,6988.317568123341,7085.832250893116,7182.79557210207,7248.674993634224
Y733,1076.3551843166351,1085.3185974955559,1095.7088118195534,1107.2957531809807,1119.9969173669815,1132.108345091343
Y737,1948.1218868121505,1999.4282478913665,2049.825724415481,2095.46572624892,2141.0184419229627,2190.350439734757
Y778,1527.3679039627314,1565.4685918986797,1613.7548176944256,1668.0645398795605,1721.6569231450558,1765.641710087657
Y799,12365.168146319687,12489.429827101529,12643.304002441466,12795.00730509311,12939.772995226085,13076.508208565414
Y803,2605.545524120331,2615.5902592241764,2624.7351335287094,2637.783640027046,2657.6657683849335,2674.8244256973267
Y806,1864.9567058831453,1842.0182549729943,1830.2658567801118,1848.3539405539632,1873.8838609233499,1888.1650161221623
Y807,1013.4181949221492,1053.6124271016195,1130.4273159727527,1220.41101532156,1308.7495335591805,1389.886997718699
Y815,1960.4859220981598,1999.3171697854996,2040.518633723259,2079.578191637993,2119.797312617302,2157.0232731103897
Y816,2319.0622675418854,2359.925981760025,2401.071536540985,2441.9258511066437,2482.1558356285095,2521.5387213230133
Y817,1519.038315564394,1551.0964227840304,1578.733145929873,1603.9506275579333,1630.8434422686696,1665.049606077373
Y818,1572.9560047388077,1551.2160050868988,1520.9844529628754,1493.802439570427,1469.4511353969574,1457.590076327324
Y830,5254.901800826192,5224.374361559749,5196.555013284087,5173.053207620978,5144.170719757676,5098.32080565393
Y838,3034.0678131792697,3075.2356669973583,3119.45987241976,3166.616377943382,3217.989207042381,3272.6491418953983
Y844,2430.8318736344577,2448.5593127876523,2468.3637806981806,2486.9582732588055,2511.4576414823537,2534.1536458492283
Y848,1666.3503194227815,1694.3925751000643,1723.3568592742085,1758.8051115348935,1797.2630916535854,1841.6029793396592
Y853,3844.1542663425207,3906.342738494277,3961.700736582279,3996.023056320846,4026.642861440778,4059.807127714157
Y880,1153.1988831296565,1194.041982003674,1243.6022582221779,1280.9757627233867,1317.8355519358072,1358.289106671885
Y890,1688.887215200439,1755.0241208538412,1828.7189692985264,1899.1625659085807,1973.8473238501695,2052.6722559120503
Y894,2559.8669207534194,2589.7080993870645,2614.6618540207296,2639.6327749969437,2668.8726203134283,2704.985371086113
Y910,8757.430511713028,9811.360588669777,10325.94408839941,10782.310282811522,11065.944280102849,12044.897836819291
Y932,13759.920673072338,14279.468655586243,14298.910151049495,14534.134362637997,14890.258568525314,15998.673844337463
Y955,6612.343808524311,6852.722008340061,7101.501479707658,7350.861618481576,7592.42855977267,7818.973134569824
Y963,2554.1560781747103,2643.208303824067,2730.0206270068884,2794.89719145,2861.3084672763944,2905.25397837162
Y964,1705.8350236415863,1749.7070000171661,1794.36525452137,1838.809088230133,1882.5074927210808,1918.829804301262
Y988,2150.4368263468145,2194.4052324123677,2238.2636927790936,2280.5642546452577,2324.25803900212,2368.672273927926
Y1011,9486.953487619758,10285.560762658715,10804.349005520344,11560.703415125608,12194.614683873951,12920.463850162923
Y1018,5847.023630142212,5495.163655281067,5183.128523826599,4863.537788391113,4510.791373252869,4298.072242736816
Y1036,1319.0357783697546,897.7546504326165,540.7090777792037,155.33648120984435,-191.67284496501088,-535.7777930684388
Y1038,1431.3829105049372,1435.8760393708944,1442.8813744336367,1449.9483851343393,1453.2874283492565,1455.2873289883137
Y1051,4357.172066212967,4410.013373248428,4460.250966108814,4511.691671424657,4563.169398828596,4619.640174212605
Y1063,4509.239937663078,4867.094085216522,5244.651366174221,5660.963696241379,5914.398388788104,6225.289930477738
Y1069,6418.079918026924,6489.0417248010635,6564.799224734306,6633.08296918869,6696.163372993469,6769.848713576794
Y1076,10281.680728698513,10384.915197171244,10449.917141474263,10549.942883193151,10650.277061912093,10758.757911004854
Y1095,7532.854053008707,8065.586181955786,8575.70865396239,9111.250071336555,9664.332746653932,10224.504057026284
Y1096,3029.8445783861875,3236.2416585258247,3440.2997348941567,3649.9177855544094,3866.7064067271954,4086.3796900658613
Y1097,3393.4874041891994,3594.972830494702,3783.5925380701724,3985.960612958223,4200.1118530227095,4414.156099534586
Y1099,10773.73438114129,10948.89492057465,11137.256071724818,11361.012577430234,11574.755157246815,11776.800619828777
Y1101,6043.88838326782,6284.124284478128,6519.533251533359,6754.704376014918,6993.67752954796,7235.851974517853
Y1105,7604.277575625927,7926.864032739402,8255.148974048943,8575.160531640575,8902.744578149244,9240.914075292572
Y1106,7898.816715404094,8156.186200814248,8421.838033195734,8687.438081128896,8967.714889169336,9241.479646461905
Y1107,4524.3953527370095,4379.046041965782,4168.970257122515,3825.8937419448775,3697.3723415110985,3556.0542989943897
Y1113,9307.836806831747,9333.742590493504,9429.758667515656,9523.839907501788,9625.230872825432,9731.234417927322
Y1135,10758.075930879495,11849.34519338989,12934.208844586028,13388.295479347902,13911.500511364438,14331.628362087968
Y1137,9333.367202764697,9434.460172120185,9351.635299798612,9263.724387520375,9223.872085158824,9115.923895568416
Y1149,5476.740869194269,5632.502459913492,5820.129497081041,6008.333929270506,6208.094540089369,6398.514732867479
Y1169,4249.394122094167,4312.124107652246,4377.114576007489,4434.813809386419,4514.97216176465,4598.40503676149
Y1181,9810.201261624748,10293.16657108049,10776.034664520408,11189.668525413517,11577.667232980864,11991.196777387686
Y1183,2739.812642711162,2857.481729533656,3067.478516607938,3258.6310672381346,3393.05831407277,3551.130949362498
