0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
D26,2372.613785022497,2388.7917791897053,2404.953866321891,2424.9878421087556,2445.0184359787395,2465.3018244542172,2485.130668524652,2505.14446819201,2525.238977316766,2545.328493002801,2565.393632773309,2585.4419382847836,2605.5061072148374,2625.5711611546567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D42,9787.129758526757,13172.13087566979,16181.212551176919,19233.599869516118,22867.25087062679,26477.59771005176,30021.608208098634,33512.71733895801,37035.56719247364,40578.39971200489,44112.28521005176,47642.24956552051,51170.96367684864,54702.94146005176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D46,10482.808942645788,10641.400154799223,10745.075301766396,10896.812861919403,11045.25608676672,11187.34566733241,11322.229059666395,11457.49459311366,11595.298731297255,11731.889658421278,11868.739847630262,12005.32355734706,12142.243158787489,12279.148355931044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D62,6022.839187718928,6020.523707214743,6024.141058977693,6023.516349550337,6021.978244166821,6022.056746762246,6022.936691682786,6023.70643190667,6024.102214228362,6024.533288311213,6025.058991920203,6025.612226974219,6026.1339107863605,6026.640353333205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D64,1165.750480864197,1368.665704060346,1558.6995972059667,1756.0971027947962,1974.5751335509121,2199.7744495160878,2422.10774724558,2642.473454643041,2863.4792835004628,3085.4758350141346,3307.4162952192128,3529.061116386205,3750.6330005414784,3972.2926379926503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D67,5796.111935809255,5814.209283426404,5843.732892856002,5875.897990897298,5901.969316288829,5929.000182844698,5959.580814100802,5991.265384413302,6022.580901838839,6053.429801680148,6084.443998076022,6115.6132714524865,6146.790193296969,6177.910068251193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D77,1929.4407220840455,1939.5332395553592,1950.4999654769902,1960.2852983474736,1970.1978981018071,1980.3650962829595,1990.6017915725713,2000.7886535644536,2010.912204933167,2021.0615331649785,2031.221757125855,2041.384261322022,2051.5396501541145,2061.694141578675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D84,1734.0352555707098,1718.4282719425858,1705.201129026711,1691.6235434181988,1678.0375747933983,1664.914618720114,1651.9642145529388,1639.1173031225799,1626.18407176882,1613.2633173361419,1600.3521902456878,1587.4512283697723,1574.5463468924163,1561.6372969046233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D85,9539.979934091865,11908.503205488621,14152.463824240862,16388.0153887853,18978.76078171581,21624.44557185024,24226.59938044399,26792.51197810024,29369.177749584615,31961.71070856899,34551.99928278774,37138.20533747524,39723.03443903774,42309.49195856899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D86,11427.801017142832,16254.594102378189,20559.975677101313,24956.647009180484,30163.595214401183,35282.65242745727,40324.23397042602,45292.93465401977,50311.97127511352,55354.75887276977,60381.60799386352,65406.31356026977,70429.50398995727,75457.62606026977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D91,2163.6618676260114,2443.5137087777257,2681.7372378893197,2909.7802229747176,3198.5043091848493,3486.9889915958047,3765.2616966739297,4039.730019427836,4316.778328754008,4596.560982562602,4874.986824847758,5153.203774310648,5431.289223529398,5709.734749652445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D126,912.6650011885167,920.2165592530371,927.5366361120344,934.0624008319528,940.9916664024444,948.3585282232614,955.6303845312448,962.8321767713876,969.9902988340707,977.1976300146432,984.4124990370126,991.6200405027719,998.8211651708932,1006.0232654478402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D127,10440.138306279481,10452.564571376146,10466.664158867301,10479.83476445526,10493.60589235276,10509.08643541783,10524.010289292037,10538.951344589888,10553.69977198094,10568.602246384322,10583.516162972152,10598.408807854354,10613.289872269332,10628.16970835179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
