V1,0,1,2,3,4,5,6,7
Q16,1820.4911744497301,1806.5224384546118,1831.513301585487,1855.0263605834143,1873.6922641258134,1883.8238318850438,1902.6816387102306,1924.511021934692
Q44,1262.6323258221191,1282.5937590774568,1276.4784614676348,1271.2437806191342,1285.8104667225646,1304.5592599572851,1307.048474515402,1308.126013328956
Q49,8522.569663642498,8611.815591616236,8846.398254292893,8833.64187655743,8946.233324035493,9007.832899164217,9125.304635458444,9160.103745420705
Q52,5591.750622784859,5646.2525173007825,5733.502949293187,5751.629148271319,5812.058953125951,5846.498943200168,5891.945584804345,5913.185239044744
Q57,1402.6354300399817,1418.0094179510959,1429.1089616112636,1434.5347469671535,1447.7226071416967,1459.6004032962196,1471.1762298601539,1479.2060856130029
Q64,2879.659105890387,2854.344690377323,2864.0299913075332,2870.9686238275744,2869.3574654373897,2880.5364660410996,2899.427559102612,2920.091320943574
Q70,10607.862685878674,10657.968818886373,10702.770966918722,10756.764290677382,10798.716146076498,10846.992809025382,10890.912266848107,10938.162851040399
Q80,6834.760983057395,6835.995033218727,6839.146090957947,6851.804323146951,6855.751923872843,6859.200257391943,6861.735055008316,6865.18254500165
Q119,2917.535561470066,2957.6704148471613,2991.833289484642,3019.7305871504263,3056.166566300216,3083.7035381489313,3113.832811376439,3137.137481427631
Q125,1290.6487805724742,1339.1099969849593,1353.3605727501254,1360.9320816027625,1373.382009184932,1388.6564324634016,1394.329514564795,1396.8178264940066
Q134,1122.3563778908351,1111.5774757858428,1104.1442089683521,1095.6998366211885,1086.8808992185857,1084.3909717074682,1082.4622352463753,1080.9727054794232
Q140,7003.760731243226,7053.225426045619,7072.4611940653895,7105.594848534653,7122.243614613597,7174.242528721786,7215.778727483339,7263.545409669487
Q155,7017.635671864294,7639.019361689522,7655.2529643944945,7361.883495112136,7546.9834746288825,7958.438855289667,7931.944519035702,7660.686258625554
Q160,1295.5606278777122,1287.7099469304085,1316.5339064598083,1257.1475916355848,1282.794142216444,1286.8581381440163,1318.7106746435165,1297.547122836113
Q171,1175.0265945745289,1183.1848091376164,1192.2208414433858,1199.6109350242134,1207.4245473845842,1214.4444482840036,1221.8087163451366,1228.4309498392058
Q174,1141.1157129839578,1148.6186979979634,1155.2446658643405,1161.7051028482674,1168.2496584830833,1174.9286682461468,1181.3264614282584,1187.5482275277045
Q185,1120.1806863992608,1127.176207976171,1131.8462590758595,1135.683085357657,1140.3664641380522,1144.189970232217,1147.8726440031646,1150.4721939475924
Q194,1145.5363190035987,1157.5784549595767,1165.5443674948567,1173.7162684755624,1182.6710747471018,1190.3215626725503,1198.1491370791798,1204.5159681870423
Q195,1142.0382582512352,1153.9089187207812,1161.6659771750358,1170.1203917634487,1179.013226411426,1186.7351975903093,1194.140884498425,1200.5439321454587
Q210,4096.83284382567,2922.5112775518146,2846.446616555394,3705.911256627224,3545.2826166739683,2942.048533619955,3014.2800522823354,3495.2293540153664
Q230,10169.43466221105,10292.919190260685,10408.028247828886,10532.50235074415,10652.291910620703,10768.433390337641,10876.951752483987,10986.105876928865
Q234,7394.657882371796,7229.833898629351,7173.400004757703,7205.714197339584,7109.412613263981,7053.0959850843765,7002.426184909974,7019.625446975315
Q267,11166.591975857089,11036.626604951309,10950.193944154566,10981.092993743587,11006.894640752707,10978.793508136732,10935.274183566926,10930.045631065484
Q269,4583.0973113654545,5185.063266870266,5393.02949432988,5704.599813215103,5987.425343701179,6279.129826496139,6478.915221117111,6670.859038618062
Q279,6997.737664781483,7073.759778691861,7134.149695201456,7198.393123482355,7254.6670207664465,7318.532410520595,7379.141790266477,7445.191847760497
Q308,4717.663867909567,4585.441228510824,4725.868829692381,4684.711665089565,4784.281892439841,4761.924205924813,4824.631888062097,4823.878858273536
Q309,8332.005632874852,8067.6092276888585,8236.069530319164,8420.729665507712,8461.727250767204,8474.419528689628,8531.6437443234,8618.80681032201
Q324,1898.9560793054898,1908.4950407629194,1963.1163964372854,2007.5809632977107,2039.3490624667559,2057.652824055607,2088.857348395133,2119.9262856045075
Q328,13669.000631327683,10976.368514397527,12304.603802541646,13166.072047828664,13785.892796052574,12000.251244569485,13014.359318855544,13760.40021906967
Q338,2397.654172829955,2137.0927063233585,2041.9957958172317,2128.612517155795,1974.6768626533615,1921.977512890957,1866.9077301802513,1918.707903832485
Q342,1992.3020288148755,2422.653781921852,2867.895731450445,2914.8754186166234,3056.826763303555,3161.7216700372956,3280.488200091212,3262.066635688408
Q353,2374.4806738524967,3855.078383865854,3884.461429181002,4012.8671835967452,4258.4144489241025,4701.959253687585,4806.474013685006,4860.047550374409
Q367,1037.1672849203599,1033.908056627689,1039.2965068583028,1043.1570581672222,1044.3393485249119,1048.1490621892024,1053.9966869482485,1059.703527677891
Q376,6817.887875998018,6828.204791473943,6631.168653435644,6620.572338164054,7127.908275919048,7021.2622138619745,6860.00246268101,6887.821824653426
Q417,1375.39974678587,1369.9153142492933,1377.6651324817592,1369.379075053805,1374.2690571407884,1372.230579696471,1376.159261151374,1373.7748669944879
Q428,1484.54526297498,1473.2049851248064,1480.0670904752028,1478.792036793806,1479.52083288166,1474.7263621817215,1475.4383667767943,1474.0818249961271
Q436,1004.8296321128059,993.2989400257625,994.6159604386503,992.2527150064448,991.4890051430455,990.3939269878722,991.8570960743439,992.2137523046866
