V1,0,1,2,3,4,5,6,7,8,9,10,11,12
W1,35537.32749264585,35597.56044980269,35268.546449656315,35232.36995386037,35366.405423643315,35365.17106910475,35122.033369390425,35170.38145412857,35330.950494678356,35387.4410524754,35288.10143987266,35241.444055195105,35209.31956838414
W30,3499.1307875636244,4006.8179499890703,4429.684636544177,4721.3214104759645,4824.825983982632,4950.772820719456,5161.552992220319,5359.708273419924,5578.144505780281,5678.0789566830335,5711.636664813375,5715.021801539041,5680.598070246673
W32,3129.993569909563,4190.566373385984,4058.3936085400987,3476.0784538259168,3648.9025907287887,4323.571283645638,4263.115387259212,4006.6170877081186,4163.913226232526,4351.883115758994,4533.09281810361,4418.397322910008,4361.769163910145
W37,2750.4464447452624,2788.1188300959843,2791.373982287416,2801.6749726274793,2816.5491645443076,2809.9393755317888,2820.1369041563153,2815.2535040553475,2804.865000305469,2820.292419894932,2811.203348414012,2807.363263824695,2814.2449918400807
W38,3126.0043196415904,3162.502142939568,3182.619226071835,3192.842426542044,3199.7364744579795,3211.0998757815364,3217.737438682318,3217.1739200985435,3213.606937352419,3218.5305883622173,3217.096047494412,3217.789265993834,3214.38914236784
W39,5481.61307983587,5520.763911705839,5546.1230551157105,5568.286214504481,5590.016818913083,5606.6329328416905,5612.311807796277,5617.724004392245,5624.390813112639,5629.698801009909,5628.757834822392,5627.027675408533,5625.455016601151
W40,5488.311355263798,5524.223456250649,5547.533415598163,5568.161324452485,5588.090566287983,5603.2149131843935,5608.514013471863,5613.093121740174,5618.708442805044,5623.212200813847,5622.498799641041,5621.118540433128,5619.87819691346
W61,10322.54961752244,10313.495034661917,10520.26450998748,10488.263173981095,10294.718384720129,10313.162175356849,10411.830891103207,10411.122333750827,10376.017642085402,10370.560795758533,10409.991888503617,10425.415139127252,10430.477719641289
W63,6148.326235386079,6170.279420380101,6324.039804434851,6276.255116272654,6111.3682293958,6112.969172494339,6216.51497985229,6198.038499416955,6074.6838664654815,6069.392252914729,6128.5128849665225,6162.363981348865,6108.163148921465
W89,1140.376429006094,1118.9430022632062,1095.0229553315985,1070.9906585635904,1052.8576811932626,1040.7548291379474,1032.6401899986831,1021.509251415244,1014.5063621607709,1012.6756615514049,1010.6566979753832,1009.7621284282583,1004.7978515184512
